Country,ninetythree,ninetyfour,ninetyfive,ninetysix,ninetyseven,ninetyeight,ninetynine,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone
Algeria,80118,88744,85475,93762,104088,105729,94373,82345,101440,96230,139333,165346,174652,239959,244605,200652,180018,186019,130723,88487,42014,40193,39478,66544,68867,64422,28500,5507,14425
Angola,122741,120926,133996,128629,156023,170911,131585,110321,119710,121185,135559,115708,172609,195048,185352,187790,167877,143512,126259,85335,78672,56343,49767,61492,49108,34330,14021,11329,13088
Congo,21392,11899,7316,11963,17178,19527,16645,18950,17430,10044,11455,5246,11592,12957,23849,24943,23816,26276,19275,11341,7293,3675,3661,1925,1875,5720,5986,1902,271
Equatorial Guinea,0,0,0,1817,1972,732,1413,2799,7664,16570,24377,28450,25385,21957,21597,28439,32310,21063,8500,15100,6073,1392,2080,2250,4328,6881,3559,955,696
Gabon,55397,70917,83642,67475,84109,75543,61247,52488,51065,52208,47670,52061,46539,21773,23577,21430,23262,17022,12557,15886,8993,6531,4479,1057,2222,1795,0,0,127
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,1033
Iraq,0,0,0,423,32530,122518,264764,226804,289998,167638,175663,240191,193987,201866,176709,229300,164357,151619,167690,174080,124403,134642,83726,155122,220499,190108,124284,64456,57277
Kuwait,128823,113964,79668,86371,92229,109844,90554,99514,91273,83177,80208,91540,88729,67355,66185,76986,66477,71782,69890,111586,119608,113620,74568,76687,52838,28715,16583,10261,12076
Libya,0,0,0,0,0,0,0,0,0,0,0,7410,20520,31896,42801,37834,28863,25595,5542,22281,21407,2352,2565,5828,23741,20516,23092,3118,33107
Nigeria,269919,232640,228984,225957,254591,254047,239643,328079,323043,226751,316522,417152,425440,406662,413932,361659,295310,373297,298732,161558,102611,33650,29456,86173,122068,69086,70569,27525,45699
Saudi Arabia,516009,511911,490487,498730,513693,544301,539562,575274,606753,566512,647666,570137,560823,534143,541987,559750,366605,400127,436020,499595,484934,425769,386505,404925,348621,328736,193556,190929,156875
United Arab Emirates,4975,4610,3582,980,616,995,842,5541,14718,5507,7731,7264,6722,3148,3828,1474,14753,819,3645,1217,1212,4912,1305,4956,12352,21312,9784,7037,14480
Venezuela,474647,486808,540296,613410,647095,627416,544798,565865,566996,510362,502328,568944,558157,517947,496684,435029,387856,360526,346989,351220,294259,288127,301989,291461,245980,213895,33666,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,490,1977,2496,0,0,0,0,0
Argentina,6914,15392,17088,20751,27525,37243,40801,30268,36313,41953,38898,35536,37065,19800,23510,17665,23921,12224,11522,9584,9068,13227,13681,16798,10597,11462,16631,15671,13836
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,45648,45290,40022,31767,15057,0,26714,5063,206,0,123,0,151,0,0,0,0
Australia,6993,6154,5729,11500,17621,20815,15287,20485,15750,20890,12523,10029,5213,2774,1389,12880,4699,3706,3376,2238,606,578,3635,1620,648,529,398,0,0
Austria,0,0,0,0,658,0,0,18,0,0,0,0,0,0,0,0,2,3,3,10,12,11,0,0,2,12,2,0,0
Azerbaijan,0,0,0,0,0,4232,0,0,0,7,0,484,563,10091,22809,27152,27516,20216,13052,8745,10780,8881,5539,3715,3084,5286,0,0,93
