Date,Algeria,Angola,Congo,Equatorial Guinea,Gabon,Iran,Iraq,Kuwait,Libya,Nigeria,Saudi Arabia,United Arab Emirates,Venezuela,Albania,Argentina,Aruba,Australia,Austria,Azerbaijan,Bahama Islands,Bahrain,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia,Brazil,Brunei,Bulgaria,Burma,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Cook Islands,Costa Rica,Croatia,Curacao,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Eswatini,Finland,France,French Guiana,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Guinea,Guyana,Hong Kong,Hungary,India,Idnonesia,Ireland,Israel,Italy,Ivory Coast (Cote d'Ivore),Jamaica,Japan,Jordan,Kazakhstan,Korea,Kyrgyzstan,Latvia,Liberia,Lithuania,Malaysia,Malta,Martinique,Mauritania,Mexico,Midway Islands,Morocco,Mozambique,Namibia,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Niue,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Senegal,Servia,Serbia,Singapore,Slovakia,South Africa,South Sudan,Spain,Spratly Islands,Sri Lanka,Suriname,Sweden,Switzerland,Syria,Taiwan,Thailand,Togo,Trinidad,Tunisia,Turkey,Turkmenistan,Ukraine,United Kingdom,Uruguay,Uzbekistan,Vietnam,Virgin Islands,Yemen
1993,80118,122741,21392,0,55397,0,0,128823,0,269919,516009,4975,474647,0,6914,0,6993,0,0,10164,0,0,0,5310,0,0,0,0,11933,0,0,0,3755,431182,0,0,18715,62277,6972,0,0,0,0,0,0,0,0,29534,26858,0,0,0,0,7218,0,0,7260,0,0,0,0,0,0,0,0,0,29729,0,0,11429,0,0,101,0,0,12000,0,0,0,0,4113,0,0,0,335283,0,0,0,0,3807,29991,0,0,0,51862,0,0,0,0,3297,0,0,0,0,197,0,0,0,0,0,6549,0,0,0,13545,0,0,0,1213,0,8897,0,2147,0,27021,0,0,0,0,127703,0,0,0,92795,5278
1994,88744,120926,11899,0,70917,0,0,113964,0,232640,511911,4610,486808,0,15392,0,6154,0,0,10684,0,0,0,11238,0,0,0,0,11322,0,0,0,2526,464317,0,0,23848,58858,4949,0,0,0,0,0,0,0,0,33333,17854,0,0,0,0,11868,0,0,4269,0,0,0,0,0,0,0,0,0,40559,0,0,8194,0,0,96,0,0,12475,0,0,0,0,3656,0,0,0,359134,0,0,0,0,11755,35791,0,0,0,73637,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,6102,0,0,0,13512,0,0,0,2681,0,3853,0,3105,0,28253,0,0,0,0,167196,0,0,0,119571,9576
1995,85475,133996,7316,0,83642,0,0,79668,0,228984,490487,3582,540296,0,17088,0,5729,0,0,877,295,0,0,6281,0,446,325,0,2854,0,0,0,1807,486230,0,2165,19462,79829,5233,0,387,0,0,0,0,0,0,35471,11720,0,0,0,3234,3207,0,0,2022,0,0,0,2784,0,0,0,10,702,32098,146,0,1864,367,0,120,0,0,8398,0,0,0,0,2845,0,0,0,389667,0,0,0,0,5584,18983,462,0,0,99803,8145,0,200,1669,8530,0,0,4704,5567,0,0,9071,0,0,0,4838,0,56,0,5790,0,0,0,2028,0,2464,27,498,0,25404,0,432,0,0,139825,0,0,346,101323,1895
1996,93762,128629,11963,1817,67475,0,423,86371,0,225957,498730,980,613410,0,20751,0,11500,0,0,408,499,0,0,7654,0,634,562,0,3393,0,0,0,1669,521101,0,9446,21030,85657,5487,0,313,0,0,0,0,0,0,37960,15923,0,0,0,6895,6290,0,0,5182,171,0,2256,4562,0,0,0,9,1592,21670,0,169,2977,1593,0,150,0,0,3708,3343,0,0,0,4198,0,0,0,455406,0,0,0,0,7100,23478,1424,0,0,114523,13296,29,223,3350,12256,0,0,3993,7445,0,1652,9251,0,0,0,2553,0,48,0,10441,0,0,0,1339,0,0,0,566,55,27672,654,1039,0,0,112696,0,0,4999,114589,782
1997,104088,156023,17178,1972,84109,0,32530,92229,0,254591,513693,616,647095,0,27525,0,17621,658,0,350,0,0,0,10661,0,440,818,0,1842,0,0,0,1675,570602,0,3383,17844,99078,7599,0,85,0,0,0,0,226,0,41879,13572,0,0,0,5262,10187,36,0,3127,0,0,0,6121,347,0,0,1,1704,21281,342,248,2695,619,0,436,0,0,1499,2565,0,0,0,8214,74,0,0,505610,0,159,0,0,9005,26904,498,0,0,112733,3941,0,135,1375,11596,0,0,4237,6021,1402,2944,4725,0,0,0,4317,0,69,0,7723,0,0,0,2617,344,0,0,488,246,22402,439,230,0,0,82561,117,0,1557,109531,304
1998,105729,170911,19527,732,75543,0,122518,109844,0,254047,544301,995,627416,0,37243,0,20815,0,4232,1384,538,0,0,11927,0,0,1096,0,9571,8731,0,0,1471,583428,0,1013,15505,129203,6219,0,39,0,0,0,0,636,0,36882,4258,0,0,0,2492,13741,0,0,6881,599,0,335,8311,2191,0,39,7,0,24153,71,0,4473,55,0,2754,0,0,11474,0,0,0,0,12932,0,0,0,493165,0,110,0,0,11197,29836,779,0,0,86180,1013,0,522,425,16060,0,50,5330,5615,1431,893,8683,0,0,0,9263,0,65,0,6711,0,0,0,2114,0,0,0,0,0,24217,413,778,0,0,91153,0,0,6993,106892,2296
1999,94373,131585,16645,1413,61247,0,264764,90554,0,239643,539562,842,544798,0,40801,0,15287,0,0,1157,0,0,0,12542,0,202,1877,0,9454,16858,0,0,1885,561881,0,1938,7699,170982,900,551,0,0,0,0,0,439,0,43019,8660,0,7652,654,6117,8476,0,1129,8597,476,0,892,7894,0,0,274,11,196,29733,556,250,3580,656,0,4903,0,0,10903,0,735,0,1241,12663,202,0,0,483385,0,0,0,0,9710,23792,0,0,0,110794,0,0,101,4755,11117,65,0,5290,4578,3519,1907,32611,0,0,0,9219,0,213,0,3768,0,0,0,2085,0,1017,0,969,0,21185,0,770,0,0,133067,0,0,4876,102057,876
2000,82345,110321,18950,2799,52488,0,226804,99514,0,328079,575274,5541,565865,0,30268,0,20485,18,0,0,303,0,0,16962,0,0,0,0,18840,7670,0,0,2562,661351,0,1046,16141,125049,2844,306,0,0,0,0,0,4059,0,46821,3943,0,15871,0,6191,13108,0,268,9265,1770,0,1556,6735,68,0,0,12,2352,17604,1628,1199,11083,1761,0,5532,0,29,18500,0,2631,0,150,16648,510,0,0,502509,0,239,0,0,10965,32941,0,0,0,125719,782,0,430,651,3190,0,0,4023,5385,3162,0,26382,0,0,0,5549,0,706,0,8990,0,0,0,10075,281,1008,26,2303,127,31164,1154,1621,0,0,133799,0,0,3303,106681,9802
2001,101440,119710,17430,7664,51065,0,289998,91273,0,323043,606753,14718,566996,0,36313,0,15750,0,0,3696,171,0,0,23141,0,0,0,0,30000,8174,1462,0,2419,667374,0,3224,8735,107896,345,498,66,495,0,0,0,1662,0,43676,2552,0,4844,0,4550,16401,0,498,13755,2168,0,1278,6485,0,0,0,8,5052,18763,1012,241,14462,2295,0,4160,0,251,19036,0,1918,0,278,13433,264,0,0,525557,0,2130,0,0,15729,29484,0,0,0,124542,7138,0,884,683,6675,0,16,3823,1427,4894,762,32783,0,0,0,7696,0,90,0,11159,0,0,0,8360,0,1223,2137,2732,0,26282,1680,1638,0,0,118332,0,0,9432,97672,9187
2002,96230,121185,10044,16570,52208,0,167638,83177,0,226751,566512,5507,510362,0,41953,0,20890,0,7,12339,0,0,0,25781,0,0,0,0,42242,3485,446,0,4681,719334,0,1438,9329,95058,1269,0,286,55,0,0,0,1542,0,40262,3867,0,4198,0,6438,8609,0,158,14751,880,0,789,8401,496,0,0,5,7496,19320,968,1942,12287,2325,146,2402,0,0,16525,0,2505,0,3305,5893,131,0,0,564497,0,204,0,0,23961,29486,0,0,0,143336,6060,0,508,1305,8454,0,0,3758,57,5392,5464,76690,0,0,0,6873,0,236,0,6157,0,0,0,5705,27,3895,2695,864,0,29164,352,4663,209,0,174554,0,0,7555,86022,9977
